epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,1042.5,0.95449,0.83214,1.25452,0.92869,0.8958,0.93061,0.48767,1.71018,1.0801,2.21345,0.000319079,0.000319079,0.000319079
74,1055.51,0.95922,0.83587,1.29117,0.89197,0.89747,0.91204,0.43694,1.80836,1.13931,2.3511,0.00030808,0.00030808,0.00030808
75,1069.44,0.93656,0.79382,1.25441,0.86333,0.89902,0.89742,0.4039,1.90513,1.22219,2.37312,0.000297081,0.000297081,0.000297081
76,1082.29,0.90359,0.79144,1.2344,0.85159,0.87979,0.89709,0.42292,1.89077,1.13956,2.35548,0.000286083,0.000286083,0.000286083
77,1096.06,0.92874,0.79017,1.24271,0.8766,0.84382,0.88442,0.45494,1.84508,1.10996,2.44694,0.000275084,0.000275084,0.000275084
78,1109.03,0.87847,0.80253,1.20707,0.88348,0.87796,0.87032,0.43914,1.73343,1.05535,2.37482,0.000264085,0.000264085,0.000264085
79,1122.68,0.90318,0.79636,1.25194,0.90466,0.88254,0.8756,0.4579,1.73987,1.0834,2.38064,0.000253086,0.000253086,0.000253086
80,1135.66,0.91434,0.80261,1.23989,0.92825,0.89559,0.9122,0.4355,1.86371,1.02983,2.58937,0.000242087,0.000242087,0.000242087
81,1148.59,0.9062,0.77084,1.23178,0.927,0.9042,0.91983,0.46806,1.79332,1.00644,2.52858,0.000231088,0.000231088,0.000231088
82,1161.57,0.86322,0.7224,1.20549,0.92074,0.90205,0.92318,0.45558,1.7647,1.00185,2.45769,0.000220089,0.000220089,0.000220089
83,1174.05,0.90035,0.74791,1.24942,0.88679,0.88153,0.90295,0.44809,1.7345,0.97156,2.37747,0.00020909,0.00020909,0.00020909
84,1187.72,0.86764,0.73521,1.1995,0.92572,0.89896,0.91744,0.4607,1.71741,0.94129,2.32343,0.000198091,0.000198091,0.000198091
85,1201.36,0.85045,0.74613,1.20882,0.93086,0.90913,0.91693,0.44723,1.72987,0.95189,2.32366,0.000187092,0.000187092,0.000187092
86,1214.35,0.85468,0.74839,1.22761,0.90284,0.88915,0.89072,0.43782,1.73219,0.9983,2.35191,0.000176094,0.000176094,0.000176094
87,1227.35,0.87596,0.76445,1.22544,0.90505,0.88563,0.8926,0.42243,1.75108,0.96346,2.40788,0.000165095,0.000165095,0.000165095
88,1241.06,0.86628,0.71079,1.21784,0.90673,0.88876,0.88792,0.46125,1.76502,0.94898,2.51612,0.000154096,0.000154096,0.000154096
89,1254.21,0.783,0.68042,1.16117,0.90118,0.88254,0.89154,0.46874,1.74583,0.93234,2.47049,0.000143097,0.000143097,0.000143097
90,1267.03,0.80547,0.70446,1.18414,0.88887,0.86905,0.90139,0.47419,1.70402,0.93456,2.35977,0.000132098,0.000132098,0.000132098
91,1282.07,0.71677,0.62211,1.20457,0.85316,0.87233,0.90812,0.44917,1.75129,0.98104,2.38621,0.000121099,0.000121099,0.000121099
92,1296.09,0.77591,0.67626,1.27194,0.90604,0.82086,0.89991,0.4355,1.80491,1.01856,2.46335,0.0001101,0.0001101,0.0001101
93,1310.16,0.73768,0.62996,1.25297,0.85506,0.87577,0.90058,0.45167,1.77555,0.98694,2.44614,9.91012e-05,9.91012e-05,9.91012e-05
94,1323.29,0.69239,0.59625,1.19155,0.86763,0.87692,0.89715,0.43888,1.76359,0.97422,2.44579,8.81023e-05,8.81023e-05,8.81023e-05
95,1336.21,0.69708,0.58903,1.19632,0.87854,0.87607,0.90548,0.45384,1.75935,0.95693,2.47546,7.71034e-05,7.71034e-05,7.71034e-05
96,1349.09,0.68624,0.57824,1.20679,0.88953,0.8779,0.91651,0.40899,1.79122,0.98844,2.52561,6.61045e-05,6.61045e-05,6.61045e-05
97,1362.04,0.65895,0.57102,1.16155,0.8981,0.87945,0.91761,0.42964,1.79087,0.98976,2.54313,5.51056e-05,5.51056e-05,5.51056e-05
98,1375.02,0.63909,0.54766,1.16494,0.8936,0.88254,0.91033,0.43858,1.75044,0.97341,2.51186,4.41067e-05,4.41067e-05,4.41067e-05
99,1388.14,0.65049,0.54713,1.16651,0.89148,0.88254,0.90097,0.43915,1.73947,0.976,2.49216,3.31078e-05,3.31078e-05,3.31078e-05
100,1400.92,0.64383,0.54017,1.14251,0.88997,0.88254,0.90523,0.44601,1.7419,0.98417,2.49085,2.21089e-05,2.21089e-05,2.21089e-05
